,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2445,12-2019,"2,645,000","779,000","3,256,000",,"931,000","$11,022,000","1,309,000","17,000","2,247,000","$16,204,000",,"239,000",,"700,000","313,000","1,441,000","$5,182,000","548,637","5,000","11,022,000","-38,000","$16,204,000",CTSH,"2,191,000","5,020,000",,
2446,09-2019,"2,343,000","734,000","3,438,000",,"876,000","$10,702,000","1,318,000","79,000","2,170,000","$15,844,000",,"246,000",,"709,000","265,000","1,386,000","$5,142,000","547,566","6,000","10,820,000","-159,000","$15,844,000",CTSH,"2,175,000","4,886,000",,
2447,06-2019,"1,660,000","1,343,000","3,386,000",,"817,000","$10,557,000","1,337,000","80,000","2,082,000","$15,517,000",,"254,000",,"718,000","285,000","1,311,000","$4,960,000","552,291","6,000","10,583,000","-70,000","$15,517,000",CTSH,"2,056,000","4,812,000",,
2448,03-2019,"950,000","2,718,000","3,377,000",,"838,000","$11,136,000","1,314,000","79,000","1,997,000","$16,096,000",,"262,000",,"727,000","340,000","1,272,000","$4,960,000","569,283","6,000","11,140,000","-74,000","$16,096,000",CTSH,"1,915,000","4,823,000",,
2449,12-2018,"1,161,000","3,350,000","3,190,000",,"909,000","$11,424,000","1,394,000","80,000","1,131,000","$15,846,000",,"215,000",,"736,000","286,000","731,000","$4,422,000","575,099","6,000","11,485,000","-114,000","$15,846,000",CTSH,"2,200,000","4,631,000",,
2450,09-2018,"1,339,000","3,424,000","3,187,000",,"777,000","$10,978,000","1,362,000","93,000","1,034,000","$15,274,000",,"223,000",,"624,000","244,000","750,000","$4,296,000","579,028","6,000","11,041,000","-188,000","$15,274,000",CTSH,"2,126,000","4,058,000",,
2451,06-2018,"901,000","3,346,000","3,204,000",,"852,000","$10,648,000","1,345,000","80,000","982,000","$14,806,000",,"217,000",,"649,000","308,000","750,000","$4,158,000","580,234","6,000","10,681,000","-94,000","$14,806,000",CTSH,"1,912,000","4,096,000",,
2452,03-2018,"1,599,000","3,390,000","3,145,000",,"856,000","$10,988,000","1,333,000","83,000","971,000","$15,045,000",,"293,000",,"673,000","360,000","732,000","$4,057,000","585,899","6,000","10,856,000","63,000","$15,045,000",CTSH,"1,716,000","3,668,000",,
2453,12-2017,"1,925,000","3,131,000","3,222,000",,"833,000","$10,669,000","1,324,000","235,000","866,000","$15,221,000",,"210,000",,"698,000","383,000","765,000","$4,552,000","588,051","6,000","10,544,000","70,000","$15,221,000",CTSH,"2,071,000","3,685,000",,
2454,09-2017,"1,577,000","3,136,000","3,292,000",,"552,000","$10,979,000","1,304,000","262,000","892,000","$14,580,000",,"186,000",,"723,000","333,000","159,000","$3,601,000","589,646","6,000","10,721,000","44,000","$14,580,000",CTSH,"1,981,000","3,565,000",,
