,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
374,03-2017,"1,240,000","2,815,000","15,119,000",,"5,354,000","$14,626,000","1,448,000","2,325,000","51,000","$33,493,000",,"15,905,000",,,,,"$18,867,000","1,201,258",,"2,412,000","2,000","$33,493,000",PYPL,"1,300,000","4,244,000",,
375,12-2016,"1,590,000","3,385,000","14,577,000",,"5,348,000","$14,712,000","1,482,000","1,539,000","79,000","$33,103,000",,"15,355,000",,,,,"$18,391,000","1,207,583",,"2,069,000","59,000","$33,103,000",PYPL,"1,459,000","4,270,000",,
376,09-2016,"1,369,000","3,719,000","13,507,000",,"4,815,000","$14,192,000","1,451,000","1,339,000","92,000","$31,356,000",,"14,294,000",,,,,"$17,164,000","1,206,646",,"1,679,000","39,000","$31,356,000",PYPL,"1,272,000","4,313,000",,
377,06-2016,"2,018,000","2,939,000","13,201,000",,"4,507,000","$13,817,000","1,412,000","1,315,000","97,000","$30,631,000",,"14,003,000",,,,,"$16,814,000","1,206,918",,"1,356,000","52,000","$30,631,000",PYPL,"1,181,000","4,350,000",,
378,03-2016,"2,583,000","2,184,000","12,391,000",,"4,224,000","$13,598,000","1,345,000","1,661,000","105,000","$29,470,000",,"13,190,000",,,,,"$15,872,000","1,212,027",,"1,033,000","-27,000","$29,470,000",PYPL,"1,145,000","4,391,000",,
379,12-2015,"1,393,000","2,018,000","12,398,000",,"4,184,000","$13,759,000","1,344,000","2,348,000","114,000","$28,881,000",,"12,406,000",,,,,"$15,122,000","1,222,676",,"668,000","-9,000","$28,881,000",PYPL,"1,179,000","4,427,000",,
380,09-2015,"1,880,000","2,419,000","11,975,000",,"4,280,000","$13,214,000","1,298,000","2,392,000","63,000","$27,896,000",,"11,916,000",,,,"1,610,000","$14,682,000","1,221,690",,"301,000","3,000","$27,896,000",PYPL,"1,089,000","3,589,000",,
381,06-2015,"2,562,000","1,846,000","11,467,000",,"3,838,000","$12,740,000","1,291,000","2,258,000","54,000","$26,911,000",,"11,574,000",,,,"1,587,000","$14,171,000","1,218,736",,N/A,"12,740,000","$26,911,000",PYPL,"877,000","3,595,000",,
382,03-2015,"2,365,000","10,000","10,998,000",,"4,834,000","$8,640,000","989,000","31,000","30,000","$22,579,000",,"11,070,000",,,,"390,000","$13,939,000",N/A,,N/A,"8,640,000","$22,579,000",PYPL,"1,565,000","3,322,000",,
383,12-2014,"2,201,000","29,000","10,677,000",,"4,280,000","$8,248,000","922,000","31,000","54,000","$21,917,000",,"10,727,000",,,,0,"$13,669,000",N/A,,N/A,"8,248,000","$21,917,000",PYPL,"1,434,000","3,345,000",,
384,09-2014,0,0,0,,0,$0,N/A,0,0,$0,,0,,,,0,$0,N/A,,0,0,$0,PYPL,0,0,,
385,06-2014,0,0,0,,0,$0,,0,0,$0,,0,0,,,0,$0,,,,0,$0,PYPL,0,,,
386,03-2014,0,0,0,,0,$0,,0,0,$0,,0,0,,,0,$0,,,,0,$0,PYPL,0,,,
387,12-2013,"1,604,000","321,000","9,329,000",,"3,366,000","$7,390,000",,"196,000","3,486,000","$19,160,000",,"73,000","9,277,000",,,"509,000","$11,770,000",,,,"7,390,000","$19,160,000",PYPL,"771,000",,,
388,12-2012,0,0,0,,0,$0,,0,0,$0,,0,0,,,0,$0,,,,0,$0,PYPL,0,,,
389,03-2023,"8,232,000","19,302,000","3,847,000","12,993,000","3,940,000","$100,403,000","85,734,000","6,029,000","12,068,000","$185,303,000","1,437,000","8,083,000",,"48,836,000",,"4,850,000","$84,900,000","4,171,000","32,829,000","65,649,000","1,925,000","$185,303,000",INTC,"2,497,000","33,158,000",,
390,12-2022,"11,144,000","17,194,000","4,133,000","13,224,000","4,712,000","$103,286,000","80,860,000","5,912,000","11,315,000","$182,103,000","4,367,000","9,595,000",,"37,684,000",,"5,182,000","$78,817,000","4,137,000","31,580,000","70,405,000","1,301,000","$182,103,000",INTC,"4,084,000","33,609,000",,
391,09-2022,"4,529,000","18,030,000","7,469,000","12,831,000","6,404,000","$99,885,000","75,763,000","5,822,000","37,725,000","$174,841,000","2,283,000","7,133,000",,"37,240,000",,"5,760,000","$74,956,000","4,127,000","30,912,000","71,024,000","-2,051,000","$174,841,000",INTC,"3,421,000","6,268,000",,
392,06-2022,"4,390,000","22,654,000","6,063,000","12,174,000","5,307,000","$101,218,000","71,660,000","5,929,000","35,814,000","$170,418,000","2,882,000","7,945,000",,"32,548,000",,"5,178,000","$69,200,000","4,106,000","29,858,000","72,985,000","-1,625,000","$170,418,000",INTC,"2,730,000","6,427,000",,
393,03-2022,"6,215,000","32,481,000","7,074,000","11,935,000","4,863,000","$103,136,000","66,718,000","6,036,000","34,221,000","$176,356,000","4,459,000","7,210,000",,"32,788,000",,"5,191,000","$73,220,000","4,089,000","29,244,000","74,894,000","-1,002,000","$176,356,000",INTC,"2,731,000","6,813,000",,
394,12-2021,"4,827,000","24,426,000","9,457,000","10,776,000","9,072,000","$95,391,000","63,245,000","6,298,000","6,072,000","$168,406,000","4,591,000","5,747,000",,"33,510,000",,"5,071,000","$73,015,000","4,072,000","28,006,000","68,265,000","-880,000","$168,406,000",INTC,"4,535,000","34,233,000",,
395,09-2021,"7,870,000","26,765,000","8,400,000","9,798,000","8,471,000","$90,087,000","59,733,000","7,003,000","32,238,000","$167,962,000","4,694,000","6,792,000",,"35,610,000",,"5,451,000","$77,875,000","4,067,000","27,592,000","63,642,000","-1,147,000","$167,962,000",INTC,"4,026,000","7,684,000",,
396,06-2021,"4,746,000","20,111,000","7,460,000","8,817,000","8,238,000","$85,207,000","58,166,000","6,917,000","32,124,000","$154,597,000","3,695,000","5,917,000",,"31,714,000",,"5,397,000","$69,390,000","4,057,000","26,655,000","59,647,000","-1,095,000","$154,597,000",INTC,"3,176,000","8,018,000",,
397,03-2021,"5,192,000","17,205,000","7,208,000","8,487,000","7,681,000","$79,807,000","57,330,000","6,813,000","32,298,000","$150,622,000","2,647,000","5,434,000",,"33,237,000",,"5,412,000","$70,815,000","4,038,000","26,272,000","54,638,000","-1,103,000","$150,622,000",INTC,"2,757,000","8,408,000",,
398,12-2020,"5,865,000","18,030,000","6,782,000","8,427,000","8,145,000","$81,038,000","56,584,000","7,344,000","5,917,000","$153,091,000","2,504,000","5,581,000",,"33,897,000",,"4,981,000","$72,053,000","4,063,000","25,556,000","56,233,000","-751,000","$153,091,000",INTC,"3,999,000","35,997,000",,
399,09-2020,"3,356,000","14,897,000","7,140,000","9,273,000","2,119,000","$74,554,000","59,205,000","6,399,000","32,991,000","$145,261,000","504,000","5,159,000",,"36,059,000",,"4,730,000","$70,707,000","4,098,000","23,335,000","52,159,000","-940,000","$145,261,000",INTC,"3,197,000","9,881,000",,
400,06-2020,"8,736,000","17,079,000","7,441,000","8,969,000","2,165,000","$82,010,000","58,036,000","6,785,000","33,025,000","$152,539,000","2,254,000","5,045,000",,"36,093,000",,"4,437,000","$70,529,000","4,253,000","25,516,000","57,646,000","-1,152,000","$152,539,000",INTC,"2,833,000","10,303,000",,
401,03-2020,"11,380,000","9,423,000","8,455,000","9,246,000","2,997,000","$76,354,000","56,770,000","6,823,000","32,187,000","$147,710,000","3,464,000","4,638,000",,"36,455,000",,"4,328,000","$71,356,000","4,234,000","25,251,000","52,644,000","-1,541,000","$147,710,000",INTC,"2,358,000","10,429,000",,
402,12-2019,"4,194,000","8,929,000","7,659,000","8,744,000","1,713,000","$77,504,000","55,386,000","7,243,000","31,829,000","$136,524,000","3,693,000","4,128,000",,"25,308,000",,"4,439,000","$59,020,000","4,277,000","25,261,000","53,523,000","-1,280,000","$136,524,000",INTC,"3,853,000","10,827,000",,
403,09-2019,"3,935,000","8,090,000","6,880,000","8,638,000","2,414,000","$74,242,000","53,563,000","8,247,000","6,255,000","$133,768,000","5,200,000","4,809,000",,"23,707,000",,"4,085,000","$59,526,000","4,350,000","25,290,000","49,674,000","-722,000","$133,768,000",INTC,"3,220,000","35,746,000",,
404,06-2019,"2,867,000","9,077,000","6,233,000","8,696,000","2,366,000","$74,947,000","51,377,000","8,206,000","6,105,000","$130,759,000","3,726,000","4,682,000",,"25,089,000",,"4,388,000","$55,812,000","4,430,000","25,140,000","50,429,000","-622,000","$130,759,000",INTC,"2,554,000","35,832,000",,
405,03-2019,"3,154,000","8,879,000","6,957,000","7,765,000","2,305,000","$73,661,000","50,040,000","8,719,000","30,182,000","$129,458,000","2,750,000","4,059,000",,"25,737,000",,"4,847,000","$55,797,000","4,477,000","25,346,000","49,128,000","-813,000","$129,458,000",INTC,"1,984,000","11,457,000",,
406,12-2018,"3,019,000","8,631,000","6,722,000","7,253,000","3,162,000","$74,563,000","48,976,000","9,430,000","28,934,000","$127,963,000","1,261,000","3,824,000",,"25,098,000",,"5,114,000","$53,400,000","4,497,000","25,365,000","50,172,000","-974,000","$127,963,000",INTC,"3,622,000","11,836,000",,
407,09-2018,"3,407,000","9,779,000","5,457,000","7,401,000","3,546,000","$71,483,000","47,071,000","11,113,000","28,461,000","$128,242,000","3,051,000","3,593,000",,"24,823,000",,"5,998,000","$56,759,000","4,564,000","25,492,000","47,094,000","-1,103,000","$128,242,000",INTC,"3,095,000","12,007,000",,
408,06-2018,"2,614,000","9,611,000","4,636,000","7,344,000","3,398,000","$70,047,000","45,914,000","12,316,000","28,041,000","$125,972,000","3,510,000","4,143,000",,"24,632,000",,"6,438,000","$55,925,000","4,611,000","25,470,000","45,666,000","-1,089,000","$125,972,000",INTC,"2,601,000","12,098,000",,
409,03-2018,"3,554,000","12,643,000","4,879,000","7,146,000","3,408,000","$70,165,000","43,735,000","12,916,000","27,960,000","$128,596,000","3,842,000","4,415,000",N/A,"24,770,000",N/A,"6,362,000","$58,431,000","4,660,000","26,430,000","44,418,000","-683,000","$128,596,000",INTC,"2,118,000","12,355,000",,
410,12-2017,"3,433,000","10,569,000","5,607,000","6,983,000","2,908,000","$69,019,000","41,109,000","12,291,000","27,604,000","$123,249,000","1,776,000","2,928,000",N/A,"25,037,000","1,656,000","4,657,000","$54,230,000","4,668,000","26,074,000","42,083,000","862,000","$123,249,000",INTC,"3,526,000","12,745,000",,
411,09-2017,"9,075,000","8,429,000","5,954,000","6,929,000","2,767,000","$70,936,000","39,472,000","9,903,000","31,501,000","$127,088,000","4,142,000","3,554,000",N/A,"27,498,000","1,706,000","5,022,000","$56,152,000","4,680,000","26,547,000","42,779,000","1,610,000","$127,088,000",INTC,"3,697,000","13,058,000",,
412,06-2017,"11,687,000","14,242,000","5,397,000","6,324,000","2,967,000","$68,625,000","38,130,000","10,385,000","24,108,000","$122,107,000","4,130,000","3,671,000",N/A,"27,855,000","1,587,000","4,343,000","$53,482,000","4,699,000","25,781,000","41,670,000","1,174,000","$122,107,000",INTC,"3,167,000","8,867,000",,
413,03-2017,"4,934,000","12,361,000","4,921,000","5,801,000","8,041,000","$66,844,000","36,911,000","11,980,000","21,542,000","$115,648,000","5,073,000","3,221,000","1,746,000","20,678,000","1,698,000","4,536,000","$48,804,000","4,709,000","25,890,000","40,091,000","863,000","$115,648,000",INTC,"2,917,000","9,157,000",,
414,12-2016,"5,560,000","11,539,000","4,690,000","5,553,000","8,166,000","$66,226,000","36,171,000","10,896,000","21,258,000","$113,327,000","4,634,000","2,475,000","1,920,000","20,649,000","1,718,000","4,420,000","$47,101,000","4,728,000","25,373,000","40,747,000","106,000","$113,327,000",INTC,"3,465,000","9,494,000",,
415,09-2016,"4,752,000","13,017,000","4,952,000","5,783,000","7,712,000","$63,115,000","34,707,000","10,211,000","21,559,000","$112,217,000","3,573,000","3,181,000","1,881,000","24,043,000","1,724,000","3,755,000","$49,102,000","4,739,000","25,070,000","37,645,000","400,000","$112,217,000",INTC,"3,930,000","9,524,000",,
416,06-2016,"3,885,000","13,804,000","4,426,000","5,800,000","3,273,000","$61,367,000","33,804,000","8,961,000","25,057,000","$109,831,000","4,560,000","3,420,000",N/A,"24,053,000","2,807,000","4,407,000","$48,464,000","4,731,000","24,317,000","37,130,000","-80,000","$109,831,000",INTC,"3,545,000","10,821,000",,
417,03-2016,"3,061,000","12,030,000","4,216,000","5,751,000","2,339,000","$61,174,000","32,644,000","9,474,000","7,870,000","$105,467,000","3,594,000","3,163,000",N/A,"21,775,000","2,632,000","3,745,000","$44,293,000","4,722,000","24,088,000","36,526,000","560,000","$105,467,000",INTC,"2,654,000","28,082,000",,
418,12-2015,"15,308,000","10,005,000","4,787,000","5,167,000","3,053,000","$61,085,000","31,858,000","7,851,000","19,497,000","$101,459,000","2,634,000","2,063,000","56,000","20,036,000","2,188,000","3,738,000","$40,374,000","4,724,000","23,411,000","37,614,000","60,000","$101,459,000",INTC,"4,098,000","3,933,000",,
419,09-2015,"7,065,000","13,778,000","4,101,000","4,965,000","4,304,000","$57,097,000","31,597,000","7,447,000","8,255,000","$98,552,000","1,129,000","2,449,000",,"20,059,000","2,160,000","3,814,000","$41,455,000","4,719,000","23,001,000","34,431,000","-335,000","$98,552,000",INTC,"3,760,000","15,048,000","1,992,000",
420,06-2015,"4,454,000","9,416,000","3,860,000","4,818,000","2,267,000","$57,695,000","32,683,000","8,935,000","17,938,000","$90,492,000","1,118,000","2,359,000",,"12,116,000","2,082,000","3,901,000","$32,797,000","4,754,000","22,625,000","34,425,000","645,000","$90,492,000",INTC,"3,593,000","4,226,000","1,895,000",
421,03-2015,"4,244,000","9,874,000","3,246,000","4,418,000","2,636,000","$54,924,000","33,296,000","8,224,000","17,369,000","$89,566,000","1,121,000","2,775,000",,"12,112,000","2,196,000","4,033,000","$34,642,000","4,744,000","22,395,000","32,461,000","68,000","$89,566,000",INTC,"3,025,000","4,211,000","2,048,000",
422,12-2014,"2,561,000","11,493,000","4,427,000","4,273,000","3,018,000","$55,865,000","33,238,000","9,120,000","17,366,000","$91,900,000","1,596,000","2,748,000",,"12,059,000","2,205,000","4,190,000","$36,035,000","4,736,000","21,781,000","33,418,000","666,000","$91,900,000",INTC,"4,567,000","4,446,000","1,958,000",
423,09-2014,"3,143,000","12,451,000","3,647,000","4,115,000","2,479,000","$56,073,000","33,135,000","8,667,000","6,370,000","$90,616,000","1,164,000","2,597,000",,"12,103,000","2,189,000","3,985,000","$34,543,000","4,835,000","21,894,000","33,233,000","946,000","$90,616,000",INTC,"4,031,000","14,935,000","1,674,000",
424,06-2014,"3,049,000","14,262,000","3,489,000","3,943,000","2,008,000","$59,247,000","33,115,000","8,228,000","6,126,000","$91,793,000","14,000","2,960,000",,"13,180,000","2,171,000","2,928,000","$32,546,000","4,951,000","22,475,000","35,652,000","1,120,000","$91,793,000",INTC,"3,476,000","15,318,000","2,255,000",
425,03-2014,"4,777,000","14,269,000","3,505,000","3,763,000","1,733,000","$58,038,000","32,502,000","7,850,000","16,063,000","$91,932,000","36,000","3,010,000",,"13,172,000","2,171,000","2,868,000","$33,894,000","4,978,000","22,166,000","34,716,000","1,156,000","$91,932,000",INTC,"2,998,000","4,963,000","2,507,000",
426,12-2013,"5,674,000","14,413,000","3,582,000","4,172,000","1,649,000","$58,256,000","31,428,000","7,694,000","16,002,000","$92,358,000","281,000","2,969,000",,"13,165,000","2,096,000","2,972,000","$34,102,000","4,972,000","21,536,000","35,477,000","1,243,000","$92,358,000",INTC,"4,144,000","5,150,000","2,594,000",
427,09-2013,"4,881,000","14,265,000","3,719,000","4,533,000","1,517,000","$55,452,000","30,346,000","8,097,000","15,324,000","$90,551,000","350,000","2,996,000",,"13,157,000","2,093,000","3,683,000","$35,099,000","4,971,000","21,113,000","33,291,000","1,048,000","$90,551,000",INTC,"3,542,000","5,434,000","2,435,000",
428,06-2013,"3,778,000","13,572,000","3,474,000","4,542,000","1,561,000","$53,840,000","29,345,000","7,003,000","14,645,000","$85,661,000","263,000","2,864,000",,"13,150,000","1,971,000","3,573,000","$31,821,000","4,982,000","20,678,000","33,017,000","145,000","$85,661,000",INTC,"3,041,000","5,620,000","2,121,000",
429,03-2013,"5,698,000","11,375,000","3,536,000","4,358,000","1,601,000","$51,194,000","28,418,000","6,007,000","14,174,000","$83,083,000","88,000","2,654,000",,"13,143,000","1,901,000","3,521,000","$31,889,000","4,971,000","20,098,000","31,506,000","-410,000","$83,083,000",INTC,"2,488,000","5,807,000","2,109,000",
430,12-2012,"8,478,000","9,684,000","3,833,000","4,734,000","2,512,000","$51,203,000","27,983,000","4,917,000","13,858,000","$84,351,000","312,000","3,023,000",,"13,136,000","1,932,000","3,702,000","$33,148,000","4,946,000","19,464,000","32,138,000","-399,000","$84,351,000",INTC,"3,987,000","6,235,000","2,117,000",
431,09-2012,"3,520,000","6,945,000","3,938,000","5,319,000","1,659,000","$49,269,000","27,157,000","4,393,000","13,656,000","$74,441,000","56,000","3,188,000",,"7,100,000","1,954,000","3,215,000","$25,172,000","4,976,000","19,278,000","30,492,000","-501,000","$74,441,000",INTC,"3,416,000","6,221,000","1,633,000",
432,06-2012,"5,223,000","8,425,000","3,544,000","4,904,000","2,172,000","$48,779,000","25,976,000","1,167,000","13,450,000","$72,352,000","92,000","3,269,000",,"7,093,000","1,915,000","3,167,000","$23,573,000","5,003,000","18,883,000","30,753,000","-857,000","$72,352,000",INTC,"3,080,000","5,974,000","1,517,000",
433,03-2012,"4,429,000","9,324,000","4,037,000","4,489,000","1,348,000","$46,760,000","25,027,000","1,317,000","13,988,000","$71,817,000","362,000","2,993,000",,"7,088,000","2,001,000","3,235,000","$25,057,000","5,031,000","18,381,000","28,983,000","-604,000","$71,817,000",INTC,"2,593,000","6,064,000","1,794,000",
434,12-2011,"5,065,000","9,772,000","3,650,000","4,096,000","1,589,000","$45,911,000","23,627,000","1,451,000","13,902,000","$71,119,000","247,000","2,956,000",,"7,084,000","1,929,000","3,479,000","$25,208,000","4,996,000","17,036,000","29,656,000","-781,000","$71,119,000",INTC,"4,082,000","6,267,000","1,700,000",
435,09-2011,"7,057,000","8,141,000","3,821,000","3,959,000","1,709,000","$46,117,000","22,157,000","1,374,000","13,877,000","$70,551,000","66,000","2,999,000",,"7,076,000","1,917,000","2,495,000","$24,434,000","5,092,000","16,247,000","29,902,000","-32,000","$70,551,000",INTC,"3,485,000","6,445,000","2,011,000",
436,06-2011,"4,635,000","6,912,000","3,359,000","4,030,000","2,193,000","$48,723,000","20,778,000","1,884,000","13,625,000","$66,089,000","71,000","2,742,000",,"2,090,000","1,824,000","2,519,000","$17,366,000","5,251,000","16,245,000","32,012,000","466,000","$66,089,000",INTC,"3,197,000","6,700,000","1,973,000",
437,03-2011,"4,188,000","7,790,000","3,542,000","4,099,000","1,270,000","$47,349,000","19,559,000","2,843,000","13,483,000","$65,552,000","54,000","2,757,000",,"2,083,000","1,813,000","2,505,000","$18,203,000","5,302,000","16,271,000","30,597,000","481,000","$65,552,000",INTC,"2,591,000","6,872,000","1,906,000",
438,12-2010,"5,498,000","16,387,000","2,867,000","3,757,000","1,614,000","$49,430,000","17,899,000","4,034,000","8,782,000","$63,186,000","38,000","2,290,000",,"2,077,000","747,000","1,426,000","$13,756,000","5,488,000","16,178,000","32,919,000","333,000","$63,186,000",INTC,"3,895,000","860,000","1,488,000",
439,03-2023,"5,535,000",,"12,287,000",,"4,555,000","$83,033,000","56,279,000","8,298,000","25,147,000","$259,429,000","6,303,000","12,159,000",,"94,403,000","2,663,000","20,842,000","$176,396,000","4,168,827","50,000","52,524,000","-1,286,000","$259,429,000",CMCSA,"11,289,000","147,329,000",,
440,12-2022,"4,749,000",,"12,672,000",,"4,405,000","$81,627,000","55,485,000","7,740,000","25,057,000","$257,275,000","1,743,000","12,544,000",,"98,240,000","2,380,000","20,955,000","$175,648,000","4,216,056","51,000","51,609,000","-1,928,000","$257,275,000",CMCSA,"11,220,000","147,167,000",,
441,09-2022,"5,695,000",,"11,918,000",,"5,803,000","$80,933,000","53,555,000","7,857,000","25,096,000","$254,308,000","2,047,000","12,241,000",,"95,576,000","2,757,000","20,765,000","$173,375,000","4,323,409","52,000","52,541,000","-3,918,000","$254,308,000",CMCSA,"10,954,000","144,383,000",,
442,06-2022,"6,822,000",,"11,956,000",,"5,414,000","$92,558,000","53,508,000","8,240,000","24,514,000","$267,032,000","2,083,000","12,304,000",,"96,630,000","2,787,000","20,922,000","$174,474,000","4,413,238","53,000","61,209,000","-1,039,000","$267,032,000",CMCSA,"10,412,000","156,579,000",,
443,03-2022,"8,880,000",,"12,300,000",,"4,201,000","$95,992,000","53,820,000","8,933,000","25,054,000","$274,074,000","2,117,000","12,707,000",,"97,614,000","3,018,000","21,027,000","$178,082,000","4,481,317","53,000","61,555,000","1,975,000","$274,074,000",CMCSA,"11,815,000","160,885,000",,
444,12-2021,"8,711,000",,"12,008,000",,"4,088,000","$97,490,000","54,047,000","8,687,000","25,230,000","$275,905,000","2,132,000","12,455,000",,"97,888,000","3,040,000","21,215,000","$178,415,000","4,533,230","54,000","61,902,000","2,878,000","$275,905,000",CMCSA,"11,721,000","163,134,000",,
445,09-2021,"11,806,000",,"11,974,000",,"3,647,000","$97,306,000","52,809,000","9,726,000","24,715,000","$277,061,000","695,000","12,020,000",,"101,691,000","3,091,000","21,380,000","$179,755,000","4,568,923","54,000","61,783,000","2,852,000","$277,061,000",CMCSA,"10,933,000","162,384,000",,
446,06-2021,"12,378,000",,"11,110,000",,"3,558,000","$96,516,000","52,769,000","9,467,000","23,607,000","$277,004,000","3,407,000","11,672,000",,"100,344,000","3,566,000","21,413,000","$180,488,000","4,589,737","55,000","60,359,000","3,573,000","$277,004,000",CMCSA,"10,669,000","164,115,000",,
447,03-2021,"14,950,000",,"10,986,000",,"3,502,000","$94,100,000","52,317,000","8,376,000","24,048,000","$278,511,000","4,777,000","11,148,000",,"104,104,000","3,376,000","21,273,000","$184,411,000","4,594,016","55,000","58,321,000","3,497,000","$278,511,000",CMCSA,"11,510,000","164,332,000",,
448,12-2020,"11,740,000",,"11,466,000",,"3,535,000","$91,738,000","51,995,000","8,267,000","21,443,000","$273,869,000","3,146,000","11,364,000",,"105,782,000","2,963,000","19,445,000","$182,131,000","4,580,656","54,000","56,438,000","3,299,000","$273,869,000",CMCSA,"11,323,000","165,423,000",,
449,09-2020,"13,707,000",,"10,310,000",,"3,352,000","$87,571,000","50,466,000","7,131,000","21,226,000","$268,940,000","4,429,000","10,979,000",,"105,162,000","2,888,000","18,779,000","$181,369,000","4,575,323","54,000","54,254,000","1,607,000","$268,940,000",CMCSA,"11,215,000","162,748,000",,
450,06-2020,"13,935,000",,"10,227,000",,"3,323,000","$84,791,000","48,985,000","7,378,000","21,225,000","$265,978,000","4,046,000","10,426,000",,"105,931,000","2,403,000","18,843,000","$181,187,000","4,568,101","54,000","53,420,000","-102,000","$265,978,000",CMCSA,"11,570,000","160,905,000",,
451,03-2020,"8,516,000",,"10,800,000",,"4,768,000","$82,783,000","48,442,000","7,080,000","21,560,000","$262,421,000","2,973,000","9,963,000",,"105,770,000","2,634,000","18,326,000","$179,638,000","4,564,093","54,000","51,516,000","133,000","$262,421,000",CMCSA,"12,030,000","161,255,000",,
452,12-2019,"5,500,000",,"11,292,000",,"8,600,000","$83,874,000","48,322,000","7,683,000","17,799,000","$263,414,000","4,452,000","10,826,000",,"102,931,000","2,768,000","18,099,000","$179,540,000","4,553,035","54,000","50,695,000","2,195,000","$263,414,000",CMCSA,"12,246,000","164,218,000",,
453,09-2019,"3,507,000",,"10,684,000",,"8,132,000","$79,160,000","46,790,000","8,289,000","17,530,000","$256,374,000","1,039,000","10,198,000",,"105,012,000","2,944,000","18,150,000","$177,214,000","4,549,250","54,000","48,570,000","-143,000","$256,374,000",CMCSA,"11,808,000","161,442,000",,
454,06-2019,"3,919,000",,"10,835,000",,"6,607,000","$77,830,000","46,047,000","8,438,000","17,323,000","$256,555,000","6,365,000","10,014,000",,"101,248,000","2,642,000","18,395,000","$178,725,000","4,544,986","54,000","46,425,000","918,000","$256,555,000",CMCSA,"11,987,000","163,386,000",,
455,03-2019,"3,498,000",,"10,736,000",,"6,039,000","$75,862,000","45,721,000","9,159,000","16,696,000","$256,189,000","4,629,000","10,232,000",,"104,464,000","2,485,000","20,048,000","$180,327,000","4,538,515","54,000","44,379,000","1,325,000","$256,189,000",CMCSA,"10,571,000","164,340,000",,
456,12-2018,"3,814,000",,"11,104,000",,"6,930,000","$72,502,000","44,437,000","7,883,000","13,639,000","$251,684,000","4,398,000","8,494,000",,"107,345,000","2,182,000","16,574,000","$179,182,000","4,525,963","54,000","41,983,000","521,000","$251,684,000",CMCSA,"12,529,000","163,877,000",,
457,09-2018,"10,616,000",,"8,983,000",,"3,607,000","$72,345,000","39,855,000","7,724,000","15,133,000","$200,635,000","3,173,000","7,036,000",,"69,711,000","1,633,000","13,775,000","$128,290,000","4,549,505","54,000","41,218,000","1,196,000","$200,635,000",CMCSA,"7,785,000","114,717,000",,
458,06-2018,"5,726,000",,"8,847,000",,"3,642,000","$71,743,000","39,355,000","7,438,000","11,155,000","$191,248,000","2,634,000","6,940,000",,"61,946,000","1,746,000","13,420,000","$119,505,000","4,581,934","54,000","40,269,000","1,510,000","$191,248,000",CMCSA,"7,687,000","115,085,000",,
459,03-2018,"6,030,000",,"8,759,000",,"3,964,000","$70,710,000","39,068,000","7,095,000","11,109,000","$190,876,000","3,039,000","7,349,000",,"63,678,000","1,578,000","12,549,000","$120,166,000","4,617,116","55,000","38,961,000","1,836,000","$190,876,000",CMCSA,"7,213,000","114,851,000",,
460,12-2017,"3,428,000",,"8,834,000",,"4,081,000","$69,459,000","38,470,000","6,931,000","11,441,000","$187,462,000","5,134,000","6,908,000",,"59,422,000","1,687,000","12,277,000","$118,003,000","4,644,508","55,000","38,202,000","1,222,000","$187,462,000",CMCSA,"8,264,000","114,277,000",,
461,09-2017,"4,114,000",,"7,915,000",,"3,931,000","$56,263,000","37,856,000","6,695,000","9,941,000","$185,301,000","5,241,000","6,976,000",,"59,720,000","1,572,000","12,235,000","$129,038,000","4,673,772","55,000","24,979,000","1,217,000","$185,301,000",CMCSA,"7,660,000","114,849,000",,
462,06-2017,"2,693,000",,"7,849,000",,"4,290,000","$55,848,000","37,171,000","6,521,000","9,494,000","$183,031,000","6,358,000","6,730,000",,"57,210,000","1,448,000","12,267,000","$127,183,000","4,713,372","56,000","24,560,000","1,271,000","$183,031,000",CMCSA,"7,740,000","115,013,000",,
463,03-2017,"4,022,000",,"7,525,000",,"3,698,000","$57,648,000","36,626,000","5,938,000","9,700,000","$182,479,000","3,509,000","6,658,000",,"58,276,000","1,234,000","12,051,000","$124,831,000","4,742,957","56,000","24,063,000","2,931,000","$182,479,000",CMCSA,"7,673,000","114,970,000",,
464,12-2016,"3,301,000",,"7,955,000",,"5,105,000","$56,174,000","36,253,000","5,247,000","10,021,000","$180,500,000","5,480,000","6,915,000",,"55,566,000","1,132,000","12,250,000","$124,326,000","4,751,603","56,000","23,076,000","2,329,000","$180,500,000",CMCSA,"8,008,000","112,618,000",,
465,09-2016,"2,807,000",,"7,533,000",,"4,888,000","$55,823,000","35,656,000","3,857,000","9,811,000","$177,924,000","3,333,000","6,594,000",,"57,095,000","1,340,000","12,358,000","$122,101,000","4,785,665","28,000","22,510,000","2,376,000","$177,924,000",CMCSA,"6,771,000","113,372,000",,
